['April', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 22', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 27', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 6', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 9', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 13', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 2', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 1', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 3', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 7', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 8', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 14', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 15', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 16', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 17', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 12', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 18', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 19', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 21', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 25', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 23', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 24', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 31', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 28', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 29', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 30', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 5', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 11', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 10', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 4', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['Julian calendar', 'August', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
